dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_n_params,source_before_nodes,n_rank,after_params,rank_gap,source_orig_parsed_expr,rendered,small_long_backoff_probe_status,small_long_backoff_probe_after_params,small_no_backoff_probe_status,small_no_backoff_probe_after_params,big_probe_status,big_probe_after_params,big_probe_runtime_ms,big_probe_peak_rss_mb,manual_classification,current_rules_outcome,manual_reason
pagie,92,GOMEA,3,original,GP-GOMEA,6.0,17.0,3.0,4.0,1.0,1.950381 - 42823.103036 * (exp(11.065 - 21.622 - x0 * x0) + exp(-3.089 - 7.475 - x1 * x1)),42823.103036 * (4.554506473667678e-05 - exp(-10.557 - x0 * x0) - exp(-10.564 - x1 * x1)),ok,4.0,ok,4.0,ok,4.0,35.81479098647833,109.828125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,100,GOMEA,11,original,GP-GOMEA,6.0,17.0,3.0,4.0,1.0,1.950391 - 2.1e-05 * (exp(13.012 - 2.124 - x0 * x0) + exp(-1.572 + 12.461 - x1 * x1)),2.1e-05 * (92875.76190476191 - exp(10.888 - x0 * x0) - exp(10.889 - x1 * x1)),ok,4.0,ok,4.0,ok,4.0,36.43008301150985,109.765625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,109,GOMEA,20,original,GP-GOMEA,6.0,17.0,3.0,4.0,1.0,1.949837 - 1e-05 * (exp(9.658 + 1.885 - x1 * x1) + exp(10.589 + 1.026 - x0 * x0)),1e-05 * (194983.69999999998 - exp(11.543 - x1 * x1) - exp(11.615 - x0 * x0)),ok,4.0,ok,4.0,ok,4.0,35.573417000705376,109.71875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,111,GOMEA,22,original,GP-GOMEA,6.0,17.0,3.0,4.0,1.0,1.93893 - 5.4461 * (exp(-0.454 - 1.011 - x1 * x1) + exp(-1.344 - 0.479 - x0 * x0)),5.4461 * (0.3560217403279411 - exp(-1.4649999999999999 - x1 * x1) - exp(-1.823 - x0 * x0)),ok,4.0,ok,4.0,ok,4.0,35.173374955775216,109.65625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,155,SBP,6,original,SBP,6.0,26.0,4.0,5.0,1.0,0.684378 - 0.025139 * (x0 * x0 + (19.711 - (x1 - exp(exp(-20.972) - x1 * -0.586) - x1 * (x1 - 5.42))) - x1),0.025139 * (7.512755917100922 + x1 - exp(-0.586 * (-1.3306949523770083e-09 - x1)) - x1 * (x1 + -5.42) - x0 * x0 + x1),ok,5.0,ok,5.0,ok,5.0,69.00650000898167,111.15625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,167,SBP,18,original,SBP,6.0,26.0,4.0,5.0,1.0,0.008014 - 0.000927 * ((x1 + (4.989 - 9.32)) * ((3.46 + x1 + x1) * (exp(x0 + (x0 - (-1.978 + x0 * x0))) * x1))),0.008014 - 0.000927 * ((x1 + -4.331) * ((3.46 + x1 + x1) * (exp(x0 + (x0 - (-1.978 + x0 * x0))) * x1))),ok,5.0,ok,5.0,ok,5.0,76.23854099074379,111.3125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,176,SBP,26,sympy,SBP,6.0,26.0,4.0,5.0,1.0,0.455914378864642 * x0 * exp(-1.0 * x0 ** 2.0 + 1.0 * x0) - 0.001527 * x1 * exp(x1) + 0.0886467577217386 * x1 + 0.001527 * x1 * exp(-16.248 * x0) - 0.06855,0.001527 * (x1 * (exp(-16.248 * x0) + 58.0528865237319) - (exp(x1) * x1 - 298.56868294999475 * (exp(x0 - x0 ** 2.0) * x0)) - 44.89194499017682),ok,5.0,memory_limit,na,ok,5.0,17601.497124996968,851.140625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,157,SBP,8,original,SBP,6.0,27.0,4.0,5.0,1.0,0.144574 + 0.000155 * (((x1 - 11.267 * 7.23) * 3.308 + (x1 + exp(7.23 - x0 * x0) * (x0 * x1 + exp(x0)))) * x0),0.144574 + 0.000155 * (((x1 + -81.46041) * 3.308 + (x1 + exp(7.23 - x0 * x0) * (x0 * x1 + exp(x0)))) * x0),ok,5.0,ok,5.0,ok,5.0,36.81608400074765,109.78125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,176,SBP,26,original,SBP,6.0,27.0,4.0,6.0,2.0,-0.06855 + 0.001527 * (x0 * exp(x0 + 5.699 - x0 * x0) + (9.142 + (exp(3.89) - (exp(x1) - exp(x0 * -16.248)))) * x1),-0.06855 + 0.001527 * (x0 * exp(x0 + 5.699 - x0 * x0) + (9.142 + (48.91088652373189 - (exp(x1) - exp(x0 * -16.248)))) * x1),ok,6.0,ok,6.0,ok,6.0,38.47016699728556,109.625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,159,SBP,10,original,SBP,6.0,28.0,5.0,6.0,1.0,0.154306 - 0.001732 * ((-20.41 + exp(11.767) * (x0 + (x0 + (x0 + x1))) * (-1.883 + x0) * exp(-7.374 - x0)) * x0 - x1),0.154306 - 0.001732 * ((-20.41 + 128926.78963076824 * (x0 + (x0 + (x0 + x1))) * (-1.883 + x0) * exp(-7.374 - x0)) * x0 - x1),ok,6.0,ok,6.0,ok,6.0,62.76779199833982,110.390625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,179,SBP,29,original,SBP,6.0,28.0,4.0,6.0,2.0,0.105238 - 0.004516 * (x0 - x0 * ((x1 - 5.432) * x1 + x1) * (x0 - x1 - 3.749) * (exp(2.638 - x0) - 1.033)),0.105238 - 0.004516 * (x0 - x0 * ((x1 - 5.432) * x1 + x1) * (x0 - x1 - 3.749) * (exp(2.638 - x0) - 1.033)),ok,6.0,ok,6.0,ok,6.0,27.673792006680745,109.796875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,161,SBP,12,original,SBP,6.0,29.0,5.0,6.0,1.0,0.667683 - 0.006309 * ((x0 * x0 - (x0 - exp(exp(exp(exp(x1) + 0.069 - x1) * -0.069)))) * ((-6.657 + x0) * (-6.908 + x0))),0.667683 - 0.006309 * ((x0 * x0 - x0 + exp(exp(exp(exp(x1) + 0.069 - x1) * -0.069))) * ((-6.657 + x0) * (-6.908 + x0))),ok,6.0,ok,6.0,ok,6.0,46.30862601334229,110.09375,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,169,SBP,19,sympy,SBP,6.0,29.0,4.0,5.0,1.0,((0.160826 * x0 * ((x0 + 13.585) * exp(x1 ** 2.0) - 16.860944986089) + (0.160826 * x0 + 0.45433345) * exp(x1 ** 2.0)) * exp(x0 ** 2.0 - exp(x0)) + 0.012782 * exp(x1 ** 2.0)) * exp(-1.0 * x1 ** 2.0),(0.160826 * (((x0 + 13.585) * exp(x1 ** 2.0) + -16.860944986089) * x0 + exp(x1 ** 2.0) * (x0 + 2.825)) * exp(x0 ** 2.0 - exp(x0)) + 0.012782 * exp(x1 ** 2.0)) * exp(-1.0 * x1 ** 2.0),ok,5.0,memory_limit,na,ok,5.0,261923.89383297996,1090.640625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,171,SBP,22,original,SBP,6.0,31.0,4.0,5.0,1.0,0.033047 - 0.000135 * ((exp(x1) * x1 + exp(x0) * (-2.136 * exp(x0)) * exp(5.051 - x0 * x0)) * (-2.136 + (x1 + 3.852))),0.033047 - 0.000135 * ((exp(x1) * x1 + exp(x0) * (-2.136 * exp(x0)) * exp(5.051 - x0 * x0)) * (1.7159999999999997 + x1)),ok,5.0,ok,5.0,ok,5.0,45.275374985067174,109.875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,196,SRjl,17,original,PySR,6.0,42.0,4.0,5.0,1.0,(exp(x0 * (x1 / (x0 / x1) - x0) - -0.5903025615190395) + x1 * x1 * (x0 / (x0 * exp(x1 * x1)) / 0.9318791503632365) - (-1.79438492259349 - -0.11470320066529753)) * (x0 / (x0 * exp(x1 * x1)) * -0.6168263431184461) + 1.9503833114546634,(exp(x0 * (x1 / (x0 / x1) - x0) + 0.5903025615190395) + x1 * x1 * x0 / (x0 * exp(x1 * x1)) / 0.9318791503632365 + 1.6796817219281925) * (-0.6168263431184461 * x0 / (x0 * exp(x1 * x1))) + 1.9503833114546634,ok,5.0,ok,5.0,ok,5.0,60.18604096607305,110.484375,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,170,SBP,20,original,SBP,7.0,28.0,4.0,5.0,1.0,5.3e-05 - 0.00157 * (exp(x0 - x0 * x0) * (exp(x0) * ((-10.978 + (15.694 - (exp(x1) + exp(-0.624)) + x1 * 15.599)) * -5.236))),5.3e-05 - -0.00822052 * (exp(x0 - x0 * x0) * (-10.978 + (15.158203042332545 - exp(x1) + x1 * 15.599))) * exp(x0),ok,5.0,ok,5.0,ok,5.0,79.90379197872244,111.8125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,187,SRjl,8,original,PySR,7.0,37.0,6.0,7.0,1.0,exp(x0 + x0 - x0 * (x0 + 0.040585192647742296) + -1.0149512623308583) / (x1 * (exp(x1) * 0.040585192647742296) + (3.8606907267233312 - x1)) * (log(exp(x1) - x1) + log(0.8419832071038463) * x1 - -1.122619161739475) * 0.6992234510287301,exp(x0 + x0 - x0 * (x0 + 0.040585192647742296) + -1.0149512623308583) * ((log(exp(x1) - x1) + -0.1719952089958853 * x1 + 1.122619161739475) / (x1 * (exp(x1) * 0.040585192647742296) + (3.8606907267233312 - x1))) * 0.6992234510287301,ok,7.0,ok,7.0,ok,7.0,46.552207990316674,110.15625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,208,SRjl,29,sympy,PySR,7.0,39.0,6.0,7.0,1.0,0.5126111526206354 * x1 * (0.6214063774224301 * x0 * x1 * (1.8394445968539719 * x0 + 3.0 * x1 - 0.16055540314602817 * exp(x1) - 0.6904329788496647) + x1 - 0.2570477604364112) * exp(-0.6022120672089649 * x0 ** 2.0 - x1),0.5126111526206354 * x1 * (1.143042603400289 * (x1 * x0) * (x0 + 1.6309270771900075 * x1 - 0.08728471812667168 * exp(x1) - 0.37534861339695796) + x1 - 0.2570477604364112) * exp(-0.6022120672089649 * x0 ** 2.0 - x1),ok,7.0,ok,7.0,ok,7.0,191.4334159810096,117.75,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,182,SRjl,3,sympy,PySR,7.0,62.0,6.0,7.0,1.0,(-1.8973651416268622 * x0 * x1 * (-1.0 * x1 + 0.0454913207896129 * exp(x1) + 0.3415087039348648) + (0.16813782855537174 - 0.05041963936946082 * x0) * (-1.0 * x1 + exp(-1.0 * x0 + x1) + 2.2629335889059945) * exp(x0 ** 2.0)) * exp(-1.0 * x0 ** 2.0) / (-1.0 * x1 + exp(-1.0 * x0 + x1) + 2.2629335889059945),(-0.0863136463127769 * x0 * x1 * (exp(x1) + -21.982215126810114 * x1 + 7.507117797574302) + (0.16813782855537174 + -0.05041963936946082 * x0) * (exp(x1 - x0) - x1 + 2.2629335889059945) * exp(x0 ** 2.0)) * (exp(-1.0 * x0 ** 2.0) / (exp(x1 - x0) - x1 + 2.2629335889059945)),ok,7.0,memory_limit,na,ok,7.0,65270.78687498579,737.421875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,98,GOMEA,9,original,GP-GOMEA,8.0,25.0,6.0,7.0,1.0,-0.047292 - 0.010811 * (exp(0.555 * x0 * (1.761 - x0)) * ((-7.097 - x1) * (x1 + 4.18) + (-0.289 + 14.81 + exp(x1)))),-0.047292 - 0.010811 * (exp(0.555 * x0 * (1.761 - x0)) * ((-7.097 - x1) * (x1 + 4.18) + (14.521 + exp(x1)))),ok,7.0,ok,7.0,ok,7.0,42.46970798703842,110.203125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,24,Bingo,24,original,Bingo,8.0,28.0,5.0,8.0,3.0,0.006514843839523813 + (0.012790360845057828 + -0.13720269441638683 * ((x0 + x0 * x0) * (2.4024045089083383 + x1))) * (-1.5068813313136211 + -0.32506758388128154 * exp(x0 * x0) - x0 * x0) ** (-1.0) + exp(-1.5068813313136211 + -0.32506758388128154 * exp(x0 * x0)),0.006514843839523813 + (0.012790360845057828 + -0.13720269441638683 * ((x0 + x0 * x0) * (2.4024045089083383 + x1))) * (-1.5068813313136211 + -0.32506758388128154 * exp(x0 * x0) - x0 * x0) ** (-1.0) + exp(-1.5068813313136211 + -0.32506758388128154 * exp(x0 * x0)),ok,8.0,ok,8.0,ok,8.0,27.92320799198933,109.765625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,102,GOMEA,13,original,GP-GOMEA,8.0,31.0,6.0,7.0,1.0,-0.108816 - 6.5e-05 * ((-8.386 * x0 - (x1 + 0.898)) * exp(7.588 - x0) - (x0 - x1) * (13.986 + 18.716) * (exp(x1) - (x1 + 13.305))),-0.108816 - 6.5e-05 * ((-8.386 * x0 - (x1 + 0.898)) * exp(7.588 - x0) - (x0 - x1) * 32.702 * (exp(x1) - (x1 + 13.305))),ok,7.0,ok,7.0,ok,7.0,55.68350100656971,110.203125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,197,SRjl,18,sympy,PySR,8.0,32.0,6.0,7.0,1.0,0.1739531651728047 * x1 ** 4.0 * (0.344770021811265 * x0 + 3.098155060756938) * (x0 + 0.9808871412991315) * exp(-1.726358623794925 * x1 - 0.8631793118974627 * (x0 - 1.2172800892692854) * (x0 - 0.03948916953537872)),0.059973836550766456 * (x1 ** 4.0 * (x0 + 8.986149794812901)) * (x0 + 0.9808871412991315) * exp(-1.726358623794925 * x1 + -0.8631793118974627 * ((x0 + -0.03948916953537872) * (x0 + -1.2172800892692854))),ok,7.0,ok,7.0,ok,7.0,81.19708299636841,112.734375,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,56,EPLEX,27,original,EPLEX,8.0,32.0,4.0,5.0,1.0,exp(-0.777 / ((x1 * (exp(-0.306 + x1) - x1)) ** 2.0 * 1.032)) - exp(0.351 / (x0 * 0.3) ** 2.0 / -2.161 * exp(-0.942)) / -0.958,exp(-0.752906976744186 / (x1 * (exp(-0.306 + x1) - x1)) ** 2.0) - exp(-0.06332088084610697 / (x0 * 0.3) ** 2.0) / -0.958,ok,5.0,ok,5.0,ok,5.0,39.4905419962015,110.171875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,193,SRjl,14,original,PySR,8.0,41.0,5.0,7.0,2.0,exp(-0.7318040896636137 - x0 * x0 + (x0 + x0 - x1)) * ((x1 - -0.039858290344846364) / 0.9598793817164541 * x1 - exp(0.13235515895495698 - x0 + (x0 + 0.09098361423696229 - x1) * x1) * (x1 * (x1 / 0.9039712460608937) - 0.16031841194029647 / 0.9446831697758643)),exp(-0.7318040896636137 - x0 * x0 + (x0 + x0 - x1)) * ((x1 + 0.039858290344846364) / 0.9598793817164541 * x1 - exp(0.13235515895495698 - x0 + (x0 + 0.09098361423696229 - x1) * x1) * (x1 * (x1 / 0.9039712460608937) + -0.1697060105117927)),ok,7.0,ok,7.0,ok,7.0,46.54083400964737,110.453125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,207,SRjl,28,original,PySR,8.0,41.0,7.0,8.0,1.0,(x1 * (x0 * x1 + ((x1 * (0.8308993593471311 * x0) - (log(1.0353531371341038) * exp(x1 - -0.35375558989724504) + 0.11255368129091607)) * x0 + x1) - 0.3584815717428683) * 0.6349784840512539 + 0.2622163301406169) / (exp(x1 + (x0 * x0 - x0)) + 2.2940465095944242),(x1 * (x0 * (x1 + (x1 * (0.8308993593471311 * x0) + -0.034742563822104125 * (exp(x1 + 0.35375558989724504) + 3.2396481119596157))) + x1 + -0.3584815717428683) * 0.6349784840512539 + 0.2622163301406169) / (exp(x1 + (x0 * x0 - x0)) + 2.2940465095944242),ok,8.0,ok,8.0,ok,8.0,69.72583301831037,111.015625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,194,SRjl,15,original,PySR,8.0,43.0,5.0,6.0,1.0,exp((x1 * x1 + x0 * x0 + x0) * -0.17830776423842798) / 1.4092295785725586 * x1 / ((exp(x0) - x0 - x0) / 0.34806215833743864 + 1.7208022848793882) * ((x0 - -0.17948040180341088 - -0.42075853691198073 + ((x0 + -0.1759177414425294) * x0 - -0.3726818556226753)) * x1),exp((x1 * x1 + x0 * x0 + x0) * -0.17830776423842798) * (x1 / 1.4092295785725586) / ((exp(x0) - x0 - x0) / 0.34806215833743864 + 1.7208022848793882) * ((0.9729207943380669 + x0 + (x0 + -0.1759177414425294) * x0) * x1),ok,6.0,ok,6.0,ok,6.0,90.83995799301192,111.421875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,205,SRjl,26,original,PySR,8.0,45.0,6.0,7.0,1.0,-1.0664521063252117 / exp(x0 * (x0 * (x1 * x1)) * 0.10404642108656967) + 1.944047815133558 + ((x1 * 0.8979952519492354 - x1) * x1 + log(2.7971484481986244)) / exp(x0 * (x0 * (x1 / x1)) - -1.294289683924389) * (x1 * 0.13355299915112226 * x1 - exp(0.5335679036188624)),-0.013623040029834211 * ((x1 * x1 + -10.083849100616565) * (x1 * x1 + -12.766502981662837)) / exp(x0 * x0 + 1.294289683924389) + -1.0664521063252117 / exp(x0 * (x0 * (x1 * x1)) * 0.10404642108656967) + 1.944047815133558,ok,7.0,memory_limit,na,ok,7.0,41485.299916996155,1115.703125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,120,Operon,1,sympy,Operon,8.0,46.0,7.0,8.0,1.0,0.22864008270232225 * exp(-9.69348884031831 * x0 ** 2.0 - exp(-1.0047436520881448 * x1 ** 2.0)) + 0.3440097684222109 + 1.635892432732362 * exp(-1.0 * exp(-1.0047436520881448 * x1 ** 2.0)) - 1.1765190489038249 * exp(-0.8640792395159441 * x0 ** 2.0),0.22864008270232225 * exp(-9.69348884031831 * x0 ** 2.0 - exp(-1.0047436520881448 * x1 ** 2.0)) + 0.3440097684222109 + 1.635892432732362 * exp(-1.0 * exp(-1.0047436520881448 * x1 ** 2.0)) - 1.1765190489038249 * exp(-0.8640792395159441 * x0 ** 2.0),ok,8.0,ok,8.0,ok,8.0,77.05387499299832,110.234375,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,197,SRjl,18,original,PySR,8.0,47.0,7.0,8.0,1.0,1.6165753448802653 - (exp(1.758436573691409 - (x0 * x0 - x0 + x0) * 0.761578950826381) - -0.05546144663419194 * (x1 * x1) + exp(0.8366837949675797) / exp(x1 * x1) - -1.8924009776034219 / exp(x1 * x1) - log(x1 * x1 - -0.9893514112972329)) * 0.181649894795292,0.181649894795292 * (8.899401492646302 - (exp(-0.761578950826381 * (x0 * x0 - x0 + x0 + -2.308935366167025)) + 0.05546144663419194 * (x1 * x1)) - 2.308698151681927 / exp(x1 * x1) + -1.8924009776034219 / exp(x1 * x1) + log(x1 * x1 + 0.9893514112972329)),ok,8.0,ok,8.0,ok,8.0,81.16062500630505,110.125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,46,EPLEX,17,sympy,EPLEX,8.0,57.0,6.0,7.0,1.0,exp((-0.304612761792 * x1 ** 2.0 - 0.391574063671503) / x1 ** 4.0) + exp(0.822136671474921 * (0.128164 * x0 ** 2.0 - 0.878) * (0.108837568328275 * x0 ** 6.0 + 1.0) ** 4.0 / (x0 ** 2.0 * (0.00954923344395646 * x0 ** 12.0 + (0.108837568328275 * x0 ** 6.0 + 1.0) ** 2.0) ** 2.0)),exp((x1 ** 2.0 + 1.2854814793967273) * (-0.304612761792 / x1 ** 4.0)) + exp(0.10536832436291177 * (x0 ** 2.0 + -6.850597671733092) * (0.108837568328275 * x0 ** 6.0 + 1.0) ** 4.0 / (x0 ** 2.0 * (0.00954923344395646 * x0 ** 12.0 + (0.108837568328275 * x0 ** 6.0 + 1.0) ** 2.0) ** 2.0)),ok,7.0,ok,7.0,ok,7.0,79.58333299029619,110.1875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,38,EPLEX,9,sympy,EPLEX,8.0,60.0,7.0,8.0,1.0,0.346330314524071 * (x0 + x1) * (x1 + 0.335) * exp((3.45907080661025 * x0 - (x1 + 0.219847859107203 * exp(x0 - 3.05276088841039 * exp(-1.0 * (x0 * exp(x1) + 1.21652690533432) * exp(-1.0 * x1)))) * exp(x0 + exp(x1 * (1.39933902481093 - x1)))) * exp(-1.0 * x0 - exp(x1 * (1.39933902481093 - x1)))),0.346330314524071 * (x0 + x1) * (x1 + 0.335) * exp((3.45907080661025 * x0 - (x1 + 0.219847859107203 * exp(x0 - 3.05276088841039 * exp((-1.21652690533432 - x0 * exp(x1)) * exp(-1.0 * x1)))) * exp(x0 + exp(x1 * (1.39933902481093 - x1)))) * exp(-1.0 * x0 - exp(x1 * (1.39933902481093 - x1)))),ok,8.0,ok,8.0,ok,8.0,50.23854097817093,110.34375,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
kotanchek,40,EPLEX,11,sympy,EPLEX,8.0,67.0,5.0,7.0,2.0,(407.670818757734 * x0 ** 6.0 + 0.298794270781101 * x1 * exp(5.0 * x0)) * exp(x0 * (4.85453828157037 * x1 * exp(-1.0 * x0) - 5.0)) / (0.517344280377334 * x1 * exp(4.85453828157037 * x0 * x1 * exp(-1.0 * x0)) + 0.647 * exp(2.0 * x0) + 1.494 * exp(x0 * (4.85453828157037 * x1 * exp(-1.0 * x0) + 1.0))),272.8720339743869 * (x0 ** 6.0 + 0.0007329302393818505 * (exp(5.0 * x0) * x1)) * exp(x0 * (4.85453828157037 * x1 * exp(-1.0 * x0) + -5.0)) / (exp(x0 * (4.85453828157037 * x1 * exp(-1.0 * x0) + 1.0)) + 0.4330655957161981 * exp(2.0 * x0) + 0.34628131216689023 * (exp(4.85453828157037 * x0 * x1 * exp(-1.0 * x0)) * x1)),ok,7.0,ok,7.0,ok,7.0,147.07820798503235,109.3125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
pagie,203,SRjl,24,original,PySR,9.0,28.0,6.0,8.0,2.0,-2.792238560484319 / (-2.844338639118127 - exp(log(x1 * (x1 * 0.5177208162997813)) * -1.8741636407391655)) + 1.021967424871605 - exp(x0 * -0.7734843695524414 * x0 + 0.07429085443356889) / exp(0.07429085443356889 * 0.020641932342605206),-2.792238560484319 / (-2.844338639118127 - exp(log(x1 * (x1 * 0.5177208162997813)) * -1.8741636407391655)) + 1.021967424871605 - exp(x0 * -0.7734843695524414 * x0 + 0.07429085443356889) / 1.0015346832137049,ok,8.0,ok,8.0,ok,8.0,43.202458997257054,109.890625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).
